groupId,artifactId,latest description,earliest release (real) date,latest release (real) date
com.dukescript.archetype,visual-archetype,"HTML page with various visual technologies driven by code
      written in Java. Control canvas, charts or maps and deploy
      to iOS, Android, desktop and any browser.",20170104Z,20200702Z
com.dyuproject.protostuff.archetype,basic-gwt-webapp,"webapp archetype using protostuff, json and gwt",20110607Z,20141226Z
com.dyuproject.protostuff.archetype,basic-webapp,"webapp archetype using protostuff, json and jquery",20110607Z,20141226Z
com.dyuproject.protostuff.archetype,simple-gwt-webapp,"webapp archetype using protobuf, json and gwt",20110607Z,20141226Z
com.dyuproject.protostuff.archetype,simple-webapp,"webapp archetype using protobuf, json and jquery",20110607Z,20141226Z
com.ebay.jetstream.archetype,simpleapp,Distributed Stream Processing Framework,20150222Z,20150805Z
com.eclipsesource.tabris,tabris-application,"Archetype to create a Tabris based Application",20131106Z,20150218Z
com.effectiveosgi,eosgi-module-archetype,,20171028Z,20180127Z
com.effectiveosgi,eosgi-project-archetype,,20171028Z,20180127Z
com.effectiveosgi,eosgi-test-module-archetype,,20171028Z,20180127Z
com.elephantdrummer,drummer,Elephant Drummer Java Job Scheduler,20180412Z,20190509Z
com.erinors,xtend-ioc-archetype,,20160504Z,20160504Z
com.eurodyn.qlack2.webdesktop.apps,qlack2-wdapps-archetypes-barebones,,20170316Z,20200618Z
com.exadatum.xsuite.xmaven,exadatum-travis-sonatype-archetype,An archetype to generate exadatum open source module to be deployed to maven central via travis CI and sonatype,20171211Z,20171216Z
com.exonum.binding,exonum-java-binding-service-archetype,"Archetype for creating Exonum Service application.",20180617Z,20200406Z
com.fastjrun.archetype,mbg-archetype,,20190320Z,20190320Z
com.fastjrun.share,quickstart-archetype,快嘉框架脚手架,20190227Z,20190310Z
com.feedzai,openml-provider-archetype,Maven archetype to generate a new OpenML provider.,20181031Z,20191012Z
com.fitbur.testify.archetype,archetype-junit-spring-integrationtest,"Creates a new quickstart project to integration test Spring modules with Testify, JUnit, Mockito, and AssertJ.",20160218Z,20160218Z
com.fitbur.testify.archetype,archetype-junit-spring-systemtest,"Creates a new quickstart project to system test Spring MVC application with Testify, JUnit, Mockito, and AssertJ.",20160218Z,20160218Z
com.fitbur.testify.archetype,archetype-junit-springboot-systemtest,"Creates a new quickstart project to system test Spring Boot application with Testify, JUnit, Mockito, and AssertJ.",20160218Z,20160218Z
com.fitbur.testify.archetype,archetype-junit-unittest,"Creates a new quickstart project to unit test Java code with Testify, JUnit, Mockito, and AssertJ.",20160218Z,20160218Z
com.fmarslan,fm-middleware-framework,Middleware Framework,20190315Z,20190315Z
com.force.sdk,springmvc-archetype,Spring MVC Project with Database.com Support,20110727Z,20110916Z
com.foreveross,moria-spring-cloud-archetype,a maven archetype for moria spring cloud service,20180519Z,20180829Z
com.freedomotic,freedomotic-device-maven-archetype,,20150106Z,20150106Z
com.funnelback,plugin-archetypes,Archetype for a plugin for the Funnelback Enterprise Search Engine,20200416Z,20200619Z
com.gfk.senbot,SenBotArchetype,Archetype to create new project exposing the SenBot (junit/cucumber/selenium acceptance test executor) to your test environment.,20130627Z,20130627Z
com.gfk.senbot,SenBotDemo-archetype,A SenBot Demo project with the purpose to demonstrate all available SenBot features.,20131024Z,20141128Z
com.gitblit.fathom,fathom-archetype-standard,,20150610Z,20170127Z
com.gitee.dgut-sai,maven-java-web-demo-archetype,Maven Demo project for the Java EE course,20190221Z,20190221Z
com.gitee.kinbug,quickstart-archetype,"According to the database, three layers of code are generated automatically.",20200227Z,20200307Z
com.github.3cpj,cpj-common,臭皮匠通用工具集,20160928Z,20161020Z
com.github.K0zka,kotlin-simple-archetype,,20140508Z,20160311Z
com.github.adminfaces,admin-starter-archetype,"Maven archetype for AdminFaces Starter application.",20180511Z,20190601Z
com.github.adminfaces,admin-starter-persistence-archetype,"Maven archetype for AdminFaces Starter application.",20190206Z,20190601Z
com.github.adminfaces,admin-starter-springboot-archetype,"Maven archetype for AdminFaces Starter SpringBoot application.",20181015Z,20190601Z
com.github.adminfaces,admin-starter-tomcat-archetype,"Maven archetype for AdminFaces Starter Tomcat application.",20181015Z,20200126Z
com.github.akiraly.reusable-poms,simple-java-project-with-spring-context-archetype,,20130520Z,20131229Z
com.github.akiraly.reusable-poms,simple-java-project-with-spring-hibernate-querydsl-archetype,,20131127Z,20131229Z
com.github.akiraly.reusable-poms,simple-java-project-with-util-libs-archetype,,20130509Z,20131229Z
com.github.alberto-mr,tdp-javafx-archetype,Maven archetype to create JavaFX applications with Java 11,20200228Z,20200428Z
com.github.apetrelli.samplegwt,samplegwt-archetype,"A complete but simple archetype that connects GWT to several technologies: JPA 2, Hibernate, Spring Core, Spring Security, Spring Transactions.",20130425Z,20140623Z
com.github.bessemHmidi,angularBeans-helloWorld-archetype,This is a simple Hello World Built with AngularBeans Framework and JavaEE7,20151016Z,20151226Z
com.github.bjlhx15,maven-archetypes-webapp,pdf 生成,20200215Z,20200218Z
com.github.bjlhx15,maven-archetypes-webapp-cache,pdf 生成,20200215Z,20200218Z
com.github.bjoernpetersen,musicbot-provider,Archetype for JMusicBot provider plugins,20170724Z,20171015Z
com.github.blakepettersson,reactmann-java-archetype,A default archetype to create Reactmann verticles with.,20150106Z,20150129Z
com.github.bmaggi,eclipse-tycho-archetype,An archetype to generate eclipse tycho project,20180309Z,20180612Z
com.github.bordertech.wcomponents,wcomponents-app-archetype,,20151112Z,20180920Z
com.github.cafdataprocessing,worker-document-archetype,,20170426Z,20200320Z
com.github.carlosvin.archetype,lifecycle-maven-plugin-archetype,Archetype for an example of custom Maven plugin overriding default lifecycle,20180510Z,20180512Z
com.github.casmi.archetypes,casmi-quickstart,Quickstart archetype for casmi project,20130412Z,20130701Z
com.github.charlie-cityu.archetypes,docs-city-archetype-quickstart,"A variation on the maven-archetype-quickstart with source set to 1.8,
		build to executable jar with dependencies and junit 4.12. File names have been changed
		to Main.java and MainTest.java. Directory structure remains consistent with the Maven
		standard.",20160815Z,20160815Z
com.github.chenjianjx,srb4j,The archetype to generate code simple restful backend in Java,20171118Z,20181209Z
com.github.choonchernlim,choonchernlim-archetype-jar,Groovy-based JAR archetype with Spring Boot and CI integration,20151104Z,20171002Z
com.github.choonchernlim,choonchernlim-archetype-webapp,"Groovy-based Maven WAR archetype using Spring Boot with the capability of generating static code
        analysis reports for Continuous Integration servers.",20150831Z,20171129Z
com.github.dakusui,logiaslisp,A JSON based Lisp processor.,20130524Z,20130524Z
com.github.dakusui,symfonion,A JSON based music macro language processor.,20130525Z,20130606Z
com.github.davidmoten,xuml-model-archetype,,20150818Z,20151009Z
com.github.deepexi,optimus-archetype-dubbo,archetype for the microService of dubbo,20181117Z,20190220Z
com.github.deepexi,optimus-archetype-hsf,archetype for the microService of hsf,20180725Z,20190107Z
com.github.deepexi,optimus-archetype-hsf-jpa,archetype for the microService of hsf,20180721Z,20180721Z
com.github.deepexi,optimus-archetype-java,a maven archetype for the microService of java,20180821Z,20180821Z
com.github.deepexi,optimus-archetype-springcloud,archetype for the microService of springcloud,20181108Z,20190520Z
com.github.deepexi,spaas-template-module,"spaas-template-module",20190904Z,20190904Z
com.github.deepexi,spaas-template-module-api,"spaas-template-module-api",20190904Z,20190904Z
com.github.deepexi,spaas-template-project,"spaas-template-project",20190904Z,20190910Z
com.github.destinyd.android.archetypes,android-apk-project,Creates a skeleton for a complete Android Apk,20140721Z,20140721Z
